id,name,shopurl,category,wangwang,market,tel,qq,address,wechat,years,source
1,"CherryAka卡卡家",https://www.vvic.com/shop/18684,"T恤",cherry_aka1,"国大",18023477798,2892778312,"国大 1楼 A01",Cherryaka666,7,"广东省 广州"
2,"卡卡家港风网红",https://www.vvic.com/shop/34587,"毛衣/针织衫","韩系萌萌哒","国大",18023477798,2892778312,"国大 1楼 A01-B",cherryaka1,6,"广东省 广州"
3,"糖糖工厂网红店",https://www.vvic.com/shop/62040,"","","国大",13026888357,865832282,"国大 1楼 A02",xinchuangyoupin,0,"广东省 广州"
4,"珊珊网红定制",https://www.vvic.com/shop/17272,"连衣裙",wangchao52010am,"国大","13247523137,13143784116",755988236,"国大 1楼B区 B101-A",h13247523137,7,"广东省 广州"
5,"茜妩儿网络服饰",https://www.vvic.com/shop/40068,"连衣裙","茜妩儿11","国大",13349708799,376035290,"国大 1楼B区 B101-B",myq19870828,4,"广东省 广州"
6,"艾斯哲",https://www.vvic.com/shop/14530,"连衣裙","alisa_倩","国大","13699715700,18664602004",867266417,"国大 1楼B区 B102",imissu131420140,7,"广东省 广州"
7,"灿灿服饰",https://www.vvic.com/shop/47985,"毛衣/针织衫",xunyicao_1982721,"国大",18665008786,1060519817,"国大 1楼B区 B103-B",xyx1234568,3,"广东省 广州"
8,"灿灿服饰2店",https://www.vvic.com/shop/53095,"连衣裙","艳阳天8786","国大",18620519691,1060519817,"国大 1楼B区 B103-B1",xyx1234568,0,"广东省 广州"
9,"思雨橱窗",https://www.vvic.com/shop/20657,"连衣裙","千雨服饰","国大","15017592603,13802998059,13802998059",54567851,"国大 1楼B区 B103-C",XWY15017592603,8,"广东省 广州"
10,"思雨橱窗C2",https://www.vvic.com/shop/28368,"","亿豪烨","国大",13802998059,953687372,"国大 1楼B区 B103-C2",XWY15017592603,5,"广东省 广州"
11,"乐贝尔时尚",https://www.vvic.com/shop/32823,"","钟辉1234567","国大","13380050833,13926156358",770257390,"国大 1楼B区 B103-D",WX13926156358,6,"广东省 广州"
12,"多米服饰",https://www.vvic.com/shop/17907,"连衣裙",zzk0917,"国大","15920822987,13535311018",754040631,"国大 1楼B区 B103-E","",7,"广东省 广州"
13,"丽人坊",https://www.vvic.com/shop/20668,"连衣裙",cht0710,"国大",13416410770,565135021,"国大 1楼B区 B103-G",cht7810230705,6,"广东省 广州"
14,"致美潮服",https://www.vvic.com/shop/31272,"连衣裙","刘稳标","国大","18138762973,13926001617",869424473,"国大 1楼B区 B104-A",liuzhangxiaoyu1985,4,"广东省 广州"
15,"和畅人家",https://www.vvic.com/shop/53868,"衬衫","流行元素75","国大",13112235285,326806750,"国大 1楼B区 B104-B",liqun13112235285,0,"广东省 广州"
16,"起典服饰",https://www.vvic.com/shop/17178,"连衣裙","van林凡","国大",13650884663,286967737,"国大 1楼B区 B105",beginning-girl,9,"广东省 广州"
17,"洛西西",https://www.vvic.com/shop/57390,"其他服装","雪悠悠girl","国大",13650884663,286967737,"国大 1楼B区 B105-B",snow13392256976,0,"广东省 广州"
18,"衣之舞大码女装",https://www.vvic.com/shop/17061,"连衣裙","半叶草521","国大",15622289767,510295952,"国大 1楼B区 B106",sprite521521,9,"广东省 广州"
